Nom;Franchise;Genre;Première Apparition;Jouable;Espèce;Console;Morale;Mascotte ?
Mario;Super Mario;Masculin;1981;Oui;Humain;NES;Héros;Oui
Luigi;Super Mario;Masculin;1983;Oui;Humain;NES;Héros;Oui
Peach;Super Mario;Féminin;1985;Oui;Humaine;NES;Héroïne;Oui
Yoshi;Super Mario;Masculin;1990;Oui;Dinosaure;SNES;Héros;Oui
Toad;Super Mario;Masculin;1985;Oui;Champignon humanoïde;NES;Neutre;Non
Bowser;Super Mario;Masculin;1985;Oui;Koopa;NES;Méchant;Oui
Wario;Super Mario;Masculin;1992;Oui;Humain;Game Boy;Méchant;Non
Waluigi;Super Mario;Masculin;2000;Oui;Humain;Nintendo 64;Méchant;Non
Min Min;ARMS;Féminin;2017;Oui;Humaine;Switch;Héroïne;Non
Isabelle;Animal Crossing;Féminin;2012;Oui;Chien;3DS;Héroïne;Oui
Tom Nook;Animal Crossing;Masculin;2001;Oui;Tanuki;GameCube;Neutre;Oui
Villager;Animal Crossing;Inconnu;2001;Oui;Humain;GameCube;Neutre;Oui
Ezio Auditore;Assassin's Creed;Masculin;2009;Oui;Humain;Multi;Héros;Oui
Banjo;Banjo-Kazooie;Masculin;1998;Oui;Ours;Nintendo 64;Héros;Non
Kazooie;Banjo-Kazooie;Féminin;1998;Oui;Oiseau;Nintendo 64;Héroïne;Non
Bayonetta;Bayonetta;Féminin;2009;Oui;Sorcière;PlayStation;Anti-héroïne;Oui
Alucard;Castlevania;Masculin;1997;Oui;Vhampire;PlayStation;Anti-héros;Oui
Simon Belmont;Castlevania;Masculin;1986;Oui;Humain;NES;Héros;Oui
Crash Bandicoot;Crash Bandicoot;Masculin;1996;Oui;Bandicoot;PlayStation;Héros;Oui
Coco Bandicoot;Crash Bandicoot;Féminin;1997;Oui;Bandicoot;PlayStation;Héroïne;Non
Cuphead;Cuphead;Masculin;2017;Oui;Tasse;PC;Héros;Oui
Mugman;Cuphead;Masculin;2017;Oui;Mug;PC;Héros;Non
Isaac Clarke;Dead Space;Masculin;2008;Oui;Humain;PlayStation;Héros;Non
Dante;Devil May Cry;Masculin;2001;Oui;Humain/Démon;PlayStation;Anti-héros;Oui
Donkey Kong;Donkey Kong;Masculin;1981;Oui;Gorille;NES;Héros;Oui
Duck Hunt Duo;Duck Hunt;Inconnu;1984;Oui;Chien et Canard;NES;Neutre;Oui
Captain Falcon;F-Zero;Masculin;1990;Oui;Humain;SNES;Héros;Oui
Jason Brody;Far Cry 3;Masculin;2012;Oui;Humain;Multi;Héros;Non
Cloud Strife;Final Fantasy;Masculin;1997;Oui;Humain;PlayStation;Héros;Oui
Sephiroth;Final Fantasy;Masculin;1997;Non;Humain;PlayStation;Méchant;Oui
Tifa Lockhart;Final Fantasy;Féminin;1997;Oui;Humaine;PlayStation;Héroïne;Oui
Barret Wallace;Final Fantasy;Masculin;1997;Oui;Humain;PlayStation;Héros;Non
Marth;Fire Emblem;Masculin;1990;Oui;Humain;Famicom;Héros;Oui
Lucina;Fire Emblem;Féminin;2012;Oui;Humaine;3DS;Héroïne;Oui
Ike;Fire Emblem;Masculin;2005;Oui;Humain;GameCube;Héros;Oui
Byleth;Fire Emblem;Masculin/Féminin;2019;Oui;Humain;Switch;Héros;Non
Niko Bellic;GTA IV;Masculin;2008;Oui;Humain;PlayStation;Anti-héros;Non
